company_name,trade,city,state,county,aka,phone,address,license_number,license_source,license_count
R D MARTIN ELECTRIC SHOP INC,Electrical,BEAUMONT,TX,JEFFERSON,,4098355436,6555 LAWRENCE DR,17052,TDLR,1
COPELAND ELECTRIC INC,Electrical,LUBBOCK,TX,LUBBOCK,,8067451125,6714 CEDAR AVE,17053,TDLR,1
"DUNCAN ELECTRICAL CONTRACTORS, INC",Electrical,GREENVILLE,TX,HUNT,,9034553636,4204 MOULTON STREET,17057,TDLR,1
SUN TECH ELECTRICAL CONTRACTORS INC,Electrical,SAN MARCOS,TX,HAYS,,5128056100,1512 POSEY RD,17058,TDLR,1
DAYSTAR ELECTRIC INC,Electrical,WALLER,TX,WALLER,,7138285441,26800 SADDLE HORN DR,17059,TDLR,1
"BOGGS ELECTRIC CO , INC",Electrical,BALCH SPRINGS,TX,DALLAS,,9725575906,5303 BUFORD JETT LANE,17064,TDLR,1
LITECO ELECTRIC INC,Electrical,BELLVILLE,TX,AUSTIN,,9798658113,3093 WIETSTRUCK RD,17067,TDLR,1
"DAVILA ELECTRIC CO, INC",Electrical,SAN ANTONIO,TX,BEXAR,,2104361551,2910 HILLCREST DR,17069,TDLR,1
A & D ELECTRIC,Electrical,ALICE,TX,JIM WELLS,,3616641504,702 W MAIN STREET,17070,TDLR,1
"PRUITT ELECTRIC CO OF ARLINGTON, INC",Electrical,KENNEDALE,TX,TARRANT,,8174788869,660 TOWER DRIVE,17071,TDLR,1
"DANCO ELECTRIC, INC",Electrical,SAN ANGELO,TX,TOM GREEN,,3256588389,2105 AUSTIN STREET,17073,TDLR,1
"LANEHART ELECTRICAL CONTRACTORS, LP",Electrical,IRVING,TX,DALLAS,,9727211004,2411 RIVERHILL ROAD,17079,TDLR,1
KEL-TEX ELECTRIC,Electrical,BORGER,TX,HUTCHINSON,,8062747169,200 S MAIN,17082,TDLR,1
PARKER ELECTRIC,Electrical,AUSTIN,TX,TRAVIS; WISE; BASTROP,,5128369779,9603 BROWN LANE BLDG A,17086,TDLR,3
POWER DESIGNS INC,Electrical,,TX,OUT OF STATE,,7274979861,11600 NINTH STREET NORTH,17087,TDLR,1
H & J ELECTRIC COMPANY,Electrical,HOUSTON,TX,HARRIS,,7132271655,1607 MILLER STREET,17089,TDLR,1
FISK ELECTRIC COMPANY,Electrical,HOUSTON,TX,HARRIS,,7138686111,10855 WESTVIEW DR,17092,TDLR,1
CAMPBELL ELECTRIC COMPANY LLC,Electrical,LUFKIN,TX,ANGELINA,,9366342435,3701 ELLEN TROUT   STE 10,17093,TDLR,1
"GRANT ELECTRIC, INC",Electrical,PEARLAND,TX,BRAZORIA,,8326068315,5807 GROVESNOR ST,17096,TDLR,1
CONTROL CONCEPTS INC.,Electrical,,TX,OUT OF STATE,,9038268701,4223 GENOA RD,17098,TDLR,1
VOLLMER ELECTRIC COMPANY INC,Electrical,SAN ANTONIO,TX,BEXAR,,2108246313,4702A DODGE ST,17099,TDLR,1
WYATT ELECTRICAL SERVICES INC,Electrical,ABILENE,TX,TAYLOR,,3256927838,1149 BUTTERNUT ST,17100,TDLR,1
TL ELECTRIC INC,Electrical,CORPUS CHRISTI,TX,NUECES,,3614463074,4717 WESTWAY,17102,TDLR,1
SANSING ELECTRIC CO,Electrical,SAN ANGELO,TX,TOM GREEN,,3256553165,2019 AUSTIN ST,17104,TDLR,1
ELECTRICAL SPECIALTIES INC,Electrical,BEAUMONT,TX,JEFFERSON; ELLIS,,4098605211,1550 LANGHAM ROAD,17109,TDLR,2
BISKAMP ELECTRIC INC,Electrical,SILSBEE,TX,HARDIN,,4093854445,1490 KIRBY AVE,17110,TDLR,1
LARRY & MATT INC,Electrical,PAMPA,TX,GRAY,,8066654418,PO BOX 759,17112,TDLR,1
GOYEN ELECTRIC INC,Electrical,VICTORIA,TX,VICTORIA,,3615785292,1003 N WILLIAM,17113,TDLR,1
LIBERTY ELECTRICAL,Electrical,HOUSTON,TX,HARRIS,,7136940758,429 ORIOLE,17115,TDLR,1
THE RICE-TINSLEY CORP,Electrical,HOUSTON,TX,HARRIS,,7134518196,8129 SIGNET,17117,TDLR,1
"R.K. BASS ELECTRIC III, LP",Electrical,HARKER HEIGHTS,TX,BELL,,2546988751,1200 E FM 2410,17118,TDLR,1
"BOYER, INC",Electrical,HOUSTON,TX,HARRIS,,7134665395,8904 FAIRBANKS N HOUSTON ROAD,17120,TDLR,1
"NEIL TECHNICAL SERVICES, LLC",Electrical,HOUSTON,TX,HARRIS,,2814777867,11304 WINDFERN ROAD,17123,TDLR,1
TEXAN ELECTRIC CO INC,Electrical,HOUSTON,TX,HARRIS,,7136456560,7011 DIXIE,17124,TDLR,1
"CCC GROUP, INC",Electrical,SAN ANTONIO,TX,BEXAR,,2106614251,5797 DIETRICH ROAD,17128,TDLR,1
TRIAD ELECTRIC & CONTROLS,Electrical,,TX,OUT OF STATE,,2259278921,13926 AIRLINE HWY,17130,TDLR,1
MIKE VERFURTH ELECTRIC CO,Electrical,SAN ANGELO,TX,TOM GREEN,,3256035336,3312 FOSTER STREET,17131,TDLR,1
SAN ANTONIO WATER SYSTEM,Electrical,SAN ANTONIO,TX,BEXAR,,2103818102,2800 US HWY 281 NORTH,17132,TDLR,1
"DAVID DUFEE, INC",Electrical,LEVELLAND,TX,HOCKLEY,,8068943707,108 INDUSTRIAL DRIVE STE 100,17133,TDLR,1
BILL ROTEN ELECTRIC COMPANY,Electrical,CRESSON,TX,HOOD,,8178221231,309 STONE MOUNTAIN ROAD,17135,TDLR,1
"M&D PARTNERS, INC",Electrical,FORT WORTH,TX,TARRANT,,8175680277,2974 SE LOOP 820,17138,TDLR,1
"METRO ELECTRIC, INC",Electrical,MCALLEN,TX,HIDALGO; BEXAR; OUT OF STATE,,9566862323,1901 INDUSTRIAL DRIVE,17140,TDLR,3
ACME ELECTRIC,Electrical,LUBBOCK,TX,LUBBOCK,,8067457720,108 EAST 82ND STREET,17141,TDLR,1
"TUTOR ELECTRICAL SERVICE, INC",Electrical,MANSFIELD,TX,TARRANT,,8175160064,201 WILLOW CREEK COURT,17144,TDLR,1
JAMES D WHITE ELECTRIC INC,Electrical,WHITE OAK,TX,GREGG,,9032356722,1609 NORTH WHITE OAK ROAD,17146,TDLR,1
"HURST ELECTRIC, LP",Electrical,EULESS,TX,TARRANT,,8172683000,2021 AIRPORT FREEWAY,17148,TDLR,1
"WEISINGER ELECTRIC, INC",Electrical,LUFKIN,TX,ANGELINA,,9366396076,404 E FRANK,17151,TDLR,1
"ROYAL ELECTRIC COMPANY OF ABILENE, INC",Electrical,ABILENE,TX,TAYLOR,,3256736322,334 E SOUTH 11TH ST,17152,TDLR,1
BUGLE ENTERPRISES INC,Electrical,DALLAS,TX,DALLAS,,2143819492,4025 CRESTHILL RD,17156,TDLR,1
R TREVINO ELECTRIC AND REFRIGERATION,Electrical,FALFURRIAS,TX,BROOKS,,3613253536,509 W NOBLE ST,17158,TDLR,1
"BJI, INC",Electrical,PFLUGERVILLE,TX,TRAVIS,,5129905500,1509 THREE POINTS RD,17161,TDLR,1
ELECTRIQUE CORPORATION,Electrical,TEXARKANA,TX,BOWIE,,9038386578,PO BOX 6004,17162,TDLR,1
RAINES ELECTRIC,Electrical,GARLAND,TX,DALLAS,,9722725595,521 W WALNUT ST,17164,TDLR,1
JSP ELECTRICAL SERVICES LLC,Electrical,BROOKSHIRE,TX,WALLER,,2815411201,35190 PONTIAC DRIVE,17168,TDLR,1
RICKY L BRYANT LLC,Electrical,LEVELLAND,TX,HOCKLEY,,8068974727,1711 WEST AVENUE,17169,TDLR,1
GRITEX INC,Electrical,NAVASOTA,TX,GRIMES,,9368251829,5598 FM 3455,17171,TDLR,1
QUINNEY ELECTRIC INC,Electrical,SAN ANTONIO,TX,BEXAR,,2106242881,2789 S LOOP 1604 W,17173,TDLR,1
"SCOTT ELECTRIC COMPANY, INC",Electrical,CORPUS CHRISTI,TX,NUECES,,3618846326,2001 N PORT AVE,17174,TDLR,1
AUSTIN LANEHART ELECTRIC COMPANY INC,Electrical,AUSTIN,TX,TRAVIS,,5122885373,2611 W HOWARD LANE,17175,TDLR,1
FOX ELECTRIC LTD,Electrical,ARLINGTON,TX,TARRANT,,8174612571,1104 COLORADO LANE,17176,TDLR,1
BURNS ELECTRIC INC,Electrical,HOUSTON,TX,HARRIS; GRAY,,7139265261,226 S 75TH,17177,TDLR,2
R J FOSTER ELECTRIC,Electrical,EDNA,TX,JACKSON,,3612359990,403 SUNNY LANE,17178,TDLR,1
J MILLER ELECTRIC INC,Electrical,CROSBY,TX,HARRIS,,2813562224,14806 DONNA LANE,17179,TDLR,1
"CLIFFORD ELECTRIC, INC",Electrical,TUSCOLA,TX,TAYLOR,,5756316950,714 CR 127,17180,TDLR,1
WILLIS ELECTRIC CO LP,Electrical,ABILENE,TX,TAYLOR,,3256983444,4242 SAYLES BLVD,17184,TDLR,1
ELDRIDGE ELECTRIC CO,Electrical,HELOTES,TX,BEXAR,,2106959113,13315 WESTERN OAK DR,17185,TDLR,1
MISSION CITY ELECTRIC INC,Electrical,SAN ANTONIO,TX,BEXAR,,2103332284,4403 DIVIDEND DR 107,17186,TDLR,1
T MORALES COMPANY ELECTRIC AND CONTROLS,Electrical,GEORGETOWN,TX,WILLIAMSON,,2547934344,401 SH 130,17189,TDLR,1
H & H ELECTRICAL CONTRACTORS INC,Electrical,TERRELL,TX,KAUFMAN,,9725240205,8475 COUNTY ROAD 271,17190,TDLR,1
COREY SLY ELECTRICAL SERVICE INC,Electrical,MIDLAND,TX,MIDLAND,,4325700229,1406 COTTON FLAT RD,17194,TDLR,1
INSTRUMENTATION INC,Electrical,CLUTE,TX,BRAZORIA,,9792658163,112 N SHANKS ST,17199,TDLR,1
C W HENDERSON ELECTRIC INC,Electrical,HOUSTON,TX,HARRIS,,2814473426,8535 BERWYN,17200,TDLR,1
"EMERALD STANDARD SERVICES, INC",Electrical,PASADENA,TX,HARRIS,,7134731000,520 PRESTON AVENUE,17201,TDLR,1
BAKENHUS ELECTRIC CO INC,Electrical,HOUSTON,TX,HARRIS,,7136822283,3609 PINEMONT,17202,TDLR,1
MOAH ELECTRIC,Electrical,DALLAS,TX,DALLAS,,2143216624,1602 STEVENS ST,17203,TDLR,1
LONE STAR ELECTRIC,Electrical,FT WORTH,TX,TARRANT; HARRIS; EL PASO; LUBBOCK; WALKER; BRAZOS,,8173358044,2320 CULLEN ST,17204,TDLR,6
WINKLERS AC ELECTRIC,Electrical,SCHULENBURG,TX,FAYETTE,,9797439098,1513 N US HWY 77,17206,TDLR,1
CONTECH CONTROL SERVICES INC,Electrical,LA PORTE,TX,HARRIS,,2814718010,2700 SENS ROAD,17208,TDLR,1
"COONROD ELECTRIC COMPANY, LLC",Electrical,HOUSTON,TX,HARRIS,,3613648058,15995 N BARKERS LANDING RD,17210,TDLR,1
JOHN HEWITT ENTERPRISES CO.,Electrical,LEWISVILLE,TX,DENTON,,2143561817,1505 SUNSWEPT TERRACE,17214,TDLR,1
DR MAINTAIN,Electrical,HASLET,TX,TARRANT,,8173373097,2217 FM 156 S,17226,TDLR,1
TONGATE SERVICES,Electrical,BANGS,TX,BROWN,,3257521020,809 E HALL,17231,TDLR,1
BARHAM ELECTRIC,Electrical,BURLESON,TX,JOHNSON,,8173009518,632 CARDINAL RIDGE ROAD,17232,TDLR,1
"L & O ELECTRIC, INC",Electrical,AUSTIN,TX,TRAVIS,,5123399340,11302 POLLYANNA AVE,17240,TDLR,1
"BUNKLEY ELECTRIC COMPANY, INC",Electrical,ABILENE,TX,TAYLOR,,3256774460,1173 WOODLAWN DR,17245,TDLR,1
BRAZOSPORT ELECTRIC LLC,Electrical,LAKE JACKSON,TX,BRAZORIA,,9792855112,210 JASMINE ST,17246,TDLR,1
CAPPADONNA ELECTRICAL CONTRACTORS INC,Electrical,SAN ANTONIO,TX,BEXAR,,2106964040,12755 COGBURN,17248,TDLR,1
TEN HAGEN ELECTRIC LLC,Electrical,MIDLOTHIAN,TX,ELLIS,,9727230126,3031D ROBINSON RD,17251,TDLR,1
WEBER ELECTRIC INC,Electrical,MARION,TX,GUADALUPE; HIDALGO,,8309142297,9793 W IH10,17252,TDLR,3
KE INDUSTRIAL LLC,Electrical,MESQUITE,TX,DALLAS,,9722890838,2502 EDINBURG ST,17256,TDLR,1
GIFFEN ELECTRIC CO LC,Electrical,HOUSTON,TX,HARRIS,,7134479964,9326 MONTRIDGE,17260,TDLR,1
JM DUNN ELECTRIC INC,Electrical,HOUSTON,TX,HARRIS,,2815170888,9215 SOLON RD SUITE A6,17261,TDLR,1
WISDOM ELECTRIC,Electrical,MEXIA,TX,LIMESTONE,,2545622003,4580 HWY 14 N,17263,TDLR,1
HURRICANE ELECTRIC,Electrical,SANTA FE,TX,GALVESTON,,4096821000,PO BOX 158,17264,TDLR,1
"T A D ELECTRICAL CO , INC",Electrical,SPRING,TX,HARRIS,,2818502583,7534 ROOT ROAD,17269,TDLR,1
HOMETOWN ELECTRIC INC,Electrical,FREDERICKSBURG,TX,GILLESPIE; DALLAS,,8309909916,717 MUSTANG ST,17271,TDLR,2
CIRCLE V SERVICES INC,Electrical,MAGNOLIA,TX,MONTGOMERY,,2814770212,24036 GRAND PINES RD,17274,TDLR,1
ACTION ELECTRICAL SERVICES INC,Electrical,HOUSTON,TX,HARRIS,,7139477993,9690 ALMEDA GENOA 304,17276,TDLR,1
"JMD & ASSOCIATES, LP",Electrical,FORT WORTH,TX,TARRANT,,8176575135,3113 RAMONA DR,17277,TDLR,1
GULF STAR SERVICES,Electrical,ALTO,TX,CHEROKEE,,2818509302,3838 CTY RD 2604,17285,TDLR,1
J & R MAINTENANCE,Electrical,FRISCO,TX,DENTON,,2144157803,1033 GOLD CAMP RD,17286,TDLR,1
"A H ELECTRICAL SERVICE, INC",Electrical,DENTON,TX,DENTON,,9403202041,2007 MARSHALL ROAD,17288,TDLR,1
"BUNYARD HASTY ELECTRIC, INC",Electrical,BUCHANAN DAM,TX,LLANO,,3254504754,302 N SUMMIT TRL,17291,TDLR,1
QUALIFIED ELECTRICAL SERVICES,Electrical,TOMBALL,TX,HARRIS,,2819249157,1327 PINE BROOK,17295,TDLR,1
CAPROCK ELECTRIC INC.,Electrical,LUBBOCK,TX,LUBBOCK; HARRIS,,8067455698,2002 96TH,17296,TDLR,2
"NICCUM ELECTRIC, INC",Electrical,PAMPA,TX,GRAY,,8066691113,11705 W HWY 152,17298,TDLR,1
D & F INDUSTRIES INC,Electrical,PHARR,TX,HIDALGO,,9567812496,3106 N SUGAR RD,17299,TDLR,1
H3 SERVICES INC,Electrical,MONTGOMERY,TX,MONTGOMERY,,9365378390,6320 SPRING BRANCH,17303,TDLR,1
KAY & KOMPANY ELECTRIC 1 LTD,Electrical,DENVER CITY,TX,YOAKUM,,8065923513,821 NORTH AVENUE B,17305,TDLR,1
"WALKER ENGINEERING, INC",Electrical,IRVING,TX,DALLAS,WALKER INDUSTRIAL LLC,8175407777,1505 W WALNUT HILL LN,17307,TDLR,2
MID-WEST ELECTRIC CO INC,Electrical,HOUSTON,TX,HARRIS,,7136810627,3828 PINEMONT,17308,TDLR,1
WOODS ELECTRIC,Electrical,HUNTSVILLE,TX,WALKER,,9362911440,52E PIERCE RD,17309,TDLR,1
STIMAC ELECTRIC CO,Electrical,HOCKLEY,TX,HARRIS,,8322504600,PO BOX 648,17311,TDLR,1
ROEBER ELECTRIC,Electrical,GONZALES,TX,GONZALES,,8304375682,603 CR 192,17313,TDLR,1
PRECISION ELECTRIC LLC,Electrical,ALVIN,TX,BRAZORIA; RANDALL; TRAVIS,,2813310158,4814 KENTINGTON DRIVE,17315,TDLR,3
CLARENCE'S REFRIGERATION AND ELECTRIC,Electrical,SMITHVILLE,TX,BASTROP,,5123602156,200 OLIVE STREET,17316,TDLR,1
"KEISER ELECTRIC, INC.",Electrical,HALTOM CITY,TX,TARRANT,,8173192796,4017 CLAY AVE STE E,17317,TDLR,1
RAMCO AIR CONDITIONING & HEATING COMPANY,Electrical,TENAHA,TX,SHELBY,,9036922095,164 CR 4342,17319,TDLR,1
ATKINSON ELECTRIC INC,Electrical,COPPERAS COVE,TX,CORYELL,,2545470300,771 FM 3046,17322,TDLR,1
DAUSIN ELECTRIC CO,Electrical,SAN ANTONIO,TX,BEXAR,,2106616736,8007 NE LOOP 410,17323,TDLR,1
TRAVIS ELECTRIC,Electrical,SAN ANTONIO,TX,BEXAR,,2105099546,2139 WILLIAM TRAVIS,17326,TDLR,1
SW ELECTRICAL CONTRACTING SERVICES LTD,Electrical,CONVERSE,TX,BEXAR,,2105681632,9435 E LOOP 1604 N,17327,TDLR,2
VOLTMASTER ELECTRIC INC,Electrical,CYPRESS,TX,HARRIS,,2819336910,17329 QUEENSLAKE DR,17329,TDLR,1
PACE CONTRACTING,Electrical,FORT WORTH,TX,TARRANT,,8179886634,10612 HIGHLAND RIDGE,17330,TDLR,1
MATHER ELECTRIC LLC,Electrical,LEANDER,TX,WILLIAMSON,,5128448948,12900 TRAILS END ROAD SUITE D,17332,TDLR,1
HIGHTOWER SERVICE INC,Electrical,ARLINGTON,TX,TARRANT,,8178190638,606 W MAIN ST,17333,TDLR,1
"CUMMINGS ELECTRICAL, L.P.",Electrical,FORT WORTH,TX,TARRANT,,8173555300,14900 GRAND RIVER RD STE 124,17336,TDLR,1
ELECTRI-TEX INC,Electrical,LAGO VISTA,TX,TRAVIS,,5123826146,21204 NEWBERRY CV,17337,TDLR,1
WARLICK ELECTRIC CO,Electrical,WACO,TX,MCLENNAN,,2547534442,2402 SPEIGHT ST,17340,TDLR,1
"HIGHRISE ELECTRICAL TECHNOLOGIES, INC",Electrical,HOUSTON,TX,HARRIS,,2819331616,10702 FALLSTONE RD,17342,TDLR,1
PIEPER HOUSTON ELECTRIC,Electrical,HOUSTON,TX,HARRIS,,7139849342,1708 OAK TREE,17343,TDLR,1
"PUCKETT ELECTRIC CO, INC",Electrical,GARLAND,TX,DALLAS,,9728640020,2602 INDUSTRIAL LN,17345,TDLR,1
MATTHEWS ELECTRIC,Electrical,FRANKLIN,TX,ROBERTSON; BEXAR,,9792206403,PO BOX 474,17348,TDLR,2
"SPOOR ELECTRIC, INC",Electrical,EDGEWOOD,TX,VAN ZANDT,,9033855051,603 W PINE ST,17349,TDLR,1
COLWELL ELECTRIC,Electrical,HOUSTON,TX,HARRIS,,7138494427,6829 GUHN ROAD,17352,TDLR,1
DANNY MARIONEAUX INC,Electrical,PORT NECHES,TX,JEFFERSON,,4097815579,2605 CIRCLE DRIVE,17354,TDLR,1
"ZUBRAS ELECTRIC, INC",Electrical,DALLAS,TX,DALLAS,,2143196900,4221 CEDAR LAKE DRIVE,17356,TDLR,1
A-ARC ELECTRIC INC,Electrical,CLUTE,TX,BRAZORIA,,9792979577,725 SOUTH LAZY LANE,17357,TDLR,1
"BARKER ELECTRIC, INC",Electrical,DECATUR,TX,WISE,,9403895588,292C R 2175,17360,TDLR,1
TRIPLE R ELECTRIC INC,Electrical,SAN ANTONIO,TX,COMAL; KLEBERG,,2109465522,19892 FM 2252,17361,TDLR,2
LYONS ELECTRIC INC,Electrical,AUSTIN,TX,TRAVIS,,5125874977,3400 MOCHA TRAIL,17365,TDLR,1
WINDSOR ELE SVC INC,Electrical,SUGARLAND,TX,FORT BEND,,2814945225,13709 OLD RICHMOND RD,17366,TDLR,1
GERARD ELECTRIC LLC,Electrical,SCHERTZ,TX,GUADALUPE,,2106618241,14275 IH 10 EAST,17367,TDLR,1
EXPRESS ELECTRICAL SERVICES INC,Electrical,HOUSTON,TX,HARRIS,,7134554928,502 FREEPORT,17370,TDLR,1
"GREGG INDUSTRIAL INSULATORS, INC",Electrical,LONGVIEW,TX,GREGG,,9037575754,201 ESTES DR,17373,TDLR,1
"PETRI ELECTRIC, INC",Electrical,RICHARDSON,TX,DALLAS,,9726445407,907 N BOWSER ROAD,17375,TDLR,1
C & G ELECTRIC INC,Electrical,KRUM,TX,DENTON,,9405660711,2901 FM 156 N,17377,TDLR,1
"GARRIN ELECTRIC, INC",Electrical,DALLAS,TX,DALLAS,,2145281555,4846 DON DRIVE,17378,TDLR,1
MAJOR ELECTRIC,Electrical,PINEHURST,TX,MONTGOMERY; NUECES; WILLIAMSON,,2816423388,206 W ROLLING WOOD ST,17379,TDLR,3
"JMEG, LLC",Electrical,FARMERS BRANCH,TX,DALLAS,,9725905555,13995 DIPLOMAT DR STE 400,17382,TDLR,1
"AWL ELECTRIC, INC",Electrical,HOUSTON,TX,HARRIS,,7138628556,1100 EL BUEY RD,17385,TDLR,1
"SCR BUILDING AND LIGHTING SERVICES, INC",Electrical,SAN ANTONIO,TX,BEXAR,,2109089091,306 NORTHAVEN DR,17386,TDLR,1
"GROVES ELECTRICAL SERVICE, INC",Electrical,FARMERS BRANCH,TX,DALLAS,,9724842717,2410 SQUIRE PLACE,17392,TDLR,1
DAVIS ELECTRIC CO,Electrical,WICHITA FALLS,TX,WICHITA; OUT OF STATE; LAMB; BEXAR,,9407631177,101 FT WORTH ST,17394,TDLR,4
RICHARD'S ELECTRIC LP,Electrical,CEDAR PARK,TX,WILLIAMSON; BEXAR,,5122594595,200 INDUSTRIAL BLVD,17395,TDLR,2
"DG & G ELECTRIC, INC",Electrical,MIDLOTHIAN,TX,ELLIS,,9727753788,1011 DIVIDEND RD,17399,TDLR,1
BAUCUM ELECTRIC,Electrical,TUSCOLA,TX,TAYLOR,,3256683273,782 BELL PLAINS RD,17403,TDLR,1
INLAND ELECTRIC INC,Electrical,STAFFORD,TX,FORT BEND,,2815685680,13118 MULA CT,17406,TDLR,1
POTTER ELECTRIC,Electrical,,TX,OUT OF STATE,,5802252527,2801 W 7TH ST,17407,TDLR,1
TEXAS ELECTRICAL SOLUTIONS CORP,Electrical,SPRING,TX,HARRIS,,2817012824,9337 SPRING CYPRESS RD,17408,TDLR,1
MURRAY ELECTRIC COMPANY,Electrical,,TX,OUT OF STATE,,2818088869,115 BRIM LN,17409,TDLR,1
COMMERCIAL ELECTRICAL CONTRACTORS INC,Electrical,CYPRESS,TX,HARRIS,,7132908026,16103 GRANT RD STE G,17411,TDLR,1
RURAL ELECTRIC INCORPORATED,Electrical,,TX,OUT OF STATE,,6027575147,9502 E MAIN STREET,17412,TDLR,1
CHATFIELD ELECTRIC,Electrical,CHINA SPRING,TX,MCLENNAN,,2548361014,948 SHILOH TRAIL,17413,TDLR,1
EAS CONTRACTING LP,Electrical,ROANOKE,TX,DENTON,,9725905576,14686 DAY ROAD,17419,TDLR,1
TTG ELECTRIC CO INC,Electrical,KILLEEN,TX,BELL,,2545267284,4705 LAUREN MACKENZIE,17420,TDLR,1
CARL ELECTRIC CO INC,Electrical,SAN ANTONIO,TX,BEXAR,,2102252715,3519 COPELAND DR,17421,TDLR,1
POWERSOURCE ELECTRIC COMPANY INC,Electrical,BEDFORD,TX,TARRANT,,8175719267,1820 BEDFORD RD,17423,TDLR,1
PREMIER HOME TECHNOLOGIES LP,Electrical,HOUSTON,TX,HARRIS,,2815307900,8564 KATY FREEWAY,17430,TDLR,1
ENTERPRISE ELECTRIC LLC,Electrical,,TX,OUT OF STATE,,6153507270,6115 COCKRILL BEND CIRCLE,17435,TDLR,1
"SONLIGHT ELECTRIC, INC.",Electrical,HOUSTON,TX,HARRIS,,2819877174,5424 HOPPER ROAD,17436,TDLR,1
"IES RESIDENTIAL, INC",Electrical,SUGAR LAND,TX,FORT BEND,,2814982212,13131 DAIRY ASHFORD RD,17438,TDLR,1
"ELECTRIC, INC",Electrical,ROYSE CITY,TX,ROCKWALL,,9727715844,179 SOUTHERN DRIVE,17442,TDLR,1
"TWILIGHT ELECTRIC, LLC",Electrical,LAMESA,TX,DAWSON,,8068722077,506 SOUTH  BRYAN AVENUE,17444,TDLR,1
MEDLIN ELECTRIC INC,Electrical,QUITMAN,TX,WOOD,,9037634644,211 N WINNSBORO ST,17445,TDLR,1
"KC ELECTRICAL CONTRACTORS, INC",Electrical,AUSTIN,TX,TRAVIS,,5122669460,1121 TERJO LN,17449,TDLR,1
ANGIEL ELECTRICAL CONSTRUCTION,Electrical,DALLAS,TX,DALLAS,,2148246369,9030 DIRECTORS ROW,17450,TDLR,1
RANDLES ELECTRIC SERVICE CO INC,Electrical,HALTOM CITY,TX,TARRANT,,8178319593,2216 MONEDA ST,17451,TDLR,1
KDR SERVICES INC,Electrical,AUSTIN,TX,WILLIAMSON,,5128326955,6901 MCNEIL DR,17452,TDLR,1
ACE ELECTRIC,Electrical,BACLIFF,TX,GALVESTON; WILLIAMSON; HARRIS; GRAYSON; LUBBOCK; OUT OF STATE,,2812369327,JOHN PAYNE,17453,TDLR,6
